"Country","Score","GDP","SocialSupport","Health","Freedom","Generosity","Corruption","Year","Region","expected_by_gdp","gdp_residual","Individualism","UncertaintyAvoidance","Indulgence"
"Guatemala",6.123,0.74553,1.04356,0.64425,0.57733,0.27489,0.09472,2015,"LatinAmerica",5.01380788998209,1.10919211001791,6,101,NA
"Hong Kong",5.474,1.38604,1.05818,1.01328,0.59608,0.39478,0.37124,2015,"EastAsia",6.40357564143144,-0.929575641431437,25,29,17
"Hong Kong",5.458,1.5107,0.87021,0.95277,0.48079,0.40097,0.31647,2016,"EastAsia",6.67406079840896,-1.21606079840896,25,29,17
"Hong Kong",5.43,1.405,1.29,1.03,0.524,0.246,0.291,2018,"EastAsia",6.44471472835823,-1.01471472835823,25,29,17
"Hong Kong",5.43,1.438,1.277,1.122,0.44,0.258,0.287,2019,"EastAsia",6.51631756952828,-1.08631756952828,25,29,17
"Hungary",5.145,1.24142,0.93164,0.67608,0.1977,0.099,0.04472,2016,"Other",6.08978161446136,-0.94478161446136,80,82,31
"Hungary",5.62,1.171,1.401,0.732,0.259,0.061,0.022,2018,"Other",5.93698549097061,-0.316985490970606,80,82,31
"Hungary",5.32399988174438,1.2860119342804,1.34313309192657,0.687763452529907,0.175863519310951,0.0784016624093056,0.0366369374096394,2017,"Other",6.18653643833241,-0.862536556588033,80,82,31
"Hungary",4.8,1.12094,1.20215,0.75905,0.32112,0.128,0.02758,2015,"Other",5.82836615069871,-1.02836615069871,80,82,31
"Hungary",5.758,1.201,1.41,0.828,0.199,0.081,0.02,2019,"Other",6.00207898294338,-0.244078982943378,80,82,31
"Iceland",7.494,1.38,1.624,1.026,0.591,0.354,0.118,2019,"Nordic",6.39047015171425,1.10352984828575,NA,NA,67
"Iceland",7.561,1.30232,1.40223,0.94784,0.62877,0.4363,0.14145,2015,"Nordic",6.22192140316609,1.33907859683391,NA,NA,67
"Iceland",7.50400018692017,1.480633020401,1.6105740070343,0.833552122116089,0.627162635326385,0.475540220737457,0.153526559472084,2017,"Nordic",6.60882197523653,0.89517821168364,NA,NA,67
"Iceland",7.501,1.42666,1.18326,0.86733,0.56624,0.47678,0.14975,2016,"Nordic",6.49171222956257,1.00928777043743,NA,NA,67
"Iceland",7.495,1.343,1.644,0.914,0.677,0.353,0.138,2018,"Nordic",6.31018817828117,1.18481182171883,NA,NA,67
"India",4.565,0.64499,0.38174,0.51529,0.39786,0.26475,0.08492,2015,"Other",4.79565790055068,-0.230657900550676,48,40,26
"India",4.31500005722046,0.792221248149872,0.754372596740723,0.455427616834641,0.469987004995346,0.231538489460945,0.0922268852591515,2017,"Other",5.11511776953684,-0.80011771231638,48,40,26
