"Country","Score","GDP","SocialSupport","Health","Freedom","Generosity","Corruption","Year","Region","expected_by_gdp","gdp_residual"
"Liberia",4.571,0.0712,0.78968,0.34201,0.28531,0.24362,0.06232,2015,"Other",3.55065807524878,1.02034192475122
"India",4.565,0.64499,0.38174,0.51529,0.39786,0.26475,0.08492,2015,"Other",4.79565790055068,-0.230657900550676
"Sudan",4.55,0.52107,1.01404,0.36878,0.10081,0.19062,0.1466,2015,"Other",4.52677838304181,0.0232216169581871
"Haiti",4.518,0.26673,0.74302,0.38847,0.24425,0.46187,0.17175,2015,"Other",3.97491575809665,0.54308424190335
"Congo (Kinshasa)",4.517,0,1.0012,0.09806,0.22605,0.24834,0.07625,2015,"Other",3.39616952096673,1.12083047903327
"Nepal",4.514,0.35997,0.86449,0.56874,0.38282,0.32296,0.05907,2015,"Other",4.17722633114803,0.336773668851975
"Ethiopia",4.512,0.19073,0.60406,0.44055,0.4345,0.24325,0.15048,2015,"SubSaharanAfrica",3.81001224509896,0.701987754901039
"Sierra Leone",4.507,0.33024,0.95571,0,0.4084,0.21488,0.08786,2015,"SubSaharanAfrica",4.11271868060301,0.394281319396991
"Mauritania",4.436,0.45407,0.86908,0.35874,0.24232,0.219,0.17461,2015,"Other",4.38140291763595,0.0545970823640456
"Kenya",4.419,0.36471,0.99876,0.41435,0.42215,0.37542,0.05839,2015,"SubSaharanAfrica",4.18751110287972,0.231488897120276
"Djibouti",4.369,0.44025,0.59207,0.36291,0.46074,0.18093,0.28105,2015,"Other",4.35141651566716,0.0175834843328362
"Armenia",4.35,0.76821,0.77711,0.7299,0.19847,0.07855,0.039,2015,"Other",5.06301856991351,-0.713018569913509
"Botswana",4.332,0.99355,1.10464,0.04776,0.49495,0.10461,0.12474,2015,"SubSaharanAfrica",5.55195748595166,-1.21995748595166
"Myanmar",4.307,0.27108,0.70905,0.48246,0.44017,0.79588,0.19034,2015,"Other",3.9843543144327,0.322645685567299
"Georgia",4.297,0.7419,0.38562,0.72926,0.40577,0.05547,0.38331,2015,"Other",5.00593157745339,-0.708931577453388
"Malawi",4.292,0.01604,0.41134,0.22562,0.43054,0.33128,0.06977,2015,"SubSaharanAfrica",3.43097284134151,0.861027158658492
"Sri Lanka",4.271,0.83524,1.01905,0.70806,0.53726,0.40828,0.09179,2015,"Other",5.20845912881134,-0.93745912881134
"Cameroon",4.252,0.4225,0.88767,0.23402,0.49309,0.20618,0.05786,2015,"Other",4.31290286624994,-0.0609028662499407
"Bulgaria",4.218,1.01216,1.10614,0.76649,0.30587,0.11921,0.00872,2015,"Other",5.59233714880544,-1.37433714880544
"Egypt",4.194,0.8818,0.747,0.61712,0.17288,0.11291,0.06324,2015,"Other",5.30948422835308,-1.11548422835308
"Yemen",4.077,0.54649,0.68093,0.40064,0.35571,0.09131,0.07854,2015,"Other",4.58193426857341,-0.504934268573408
"Angola",4.033,0.75778,0.8604,0.16683,0.10384,0.12344,0.07122,2015,"Other",5.04038773253764,-1.00738773253764
"Mali",3.995,0.26074,1.03526,0.20583,0.38857,0.18798,0.12352,2015,"Other",3.96191875753275,0.0330812424672473
"Congo (Brazzaville)",3.989,0.67866,0.6629,0.31051,0.41466,0.12388,0.11686,2015,"Other",4.86871449637478,-0.879714496374785
"Comoros",3.956,0.23906,0.79273,0.36315,0.22917,0.17441,0.199,2015,"Other",3.9148778606671,0.0411221393329035
"Uganda",3.931,0.21102,1.13299,0.33861,0.45727,0.29066,0.07267,2015,"SubSaharanAfrica",3.85403714350321,0.0769628564967881
"Senegal",3.904,0.36498,0.97619,0.4354,0.36772,0.20843,0.10713,2015,"Other",4.18809694430748,-0.284096944307478
"Gabon",3.896,1.06024,0.90528,0.43372,0.31914,0.06822,0.11091,2015,"Other",5.69666031860713,-1.80066031860713
"Niger",3.845,0.0694,0.77265,0.29707,0.47692,0.19387,0.15639,2015,"Other",3.54675246573041,0.298247534269588
"Cambodia",3.819,0.46038,0.62736,0.61114,0.66246,0.40359,0.07247,2015,"Other",4.39509424878089,-0.576094248780894
"Tanzania",3.781,0.2852,1.00268,0.38215,0.32878,0.34377,0.05747,2015,"SubSaharanAfrica",4.01499165132122,-0.23399165132122
